id,web_name,club,pos,price,own
421,Heaven,MUN,DEF,4.5,0.4
422,Mazraoui,MUN,DEF,4.5,0.7
423,Shaw,MUN,DEF,4.5,24.6
424,Amass,MUN,DEF,4.0,0.2
425,Fredricson,MUN,DEF,4.0,0.1
426,B.Fernandes,MUN,MID,12.0,48.6
427,Mbeumo,MUN,MID,8.0,16.7
428,Cunha,MUN,MID,8.0,14.5
429,Rashford,MUN,MID,7.0,1.5
430,Mount,MUN,MID,5.5,0.1
431,Amad,MUN,MID,6.0,1.5
432,Mainoo,MUN,MID,5.5,1.3
433,Ugarte,MUN,MID,5.0,0.0
434,J.Fletcher,MUN,MID,5.0,0.0
435,Lacey,MUN,MID,5.0,0.1
436,Collyer,MUN,MID,5.0,0.0
437,Bendito Mantato,MUN,MID,4.5,0.2
438,Fletcher,MUN,MID,4.5,0.3
439,Šeško,MUN,FWD,7.0,2.8
440,Zirkzee,MUN,FWD,5.5,0.7
441,Obi,MUN,FWD,4.5,1.2
442,Pope,NEW,GKP,5.0,1.1
443,Gillespie,NEW,GKP,4.5,0.1
444,Jaouen,NEW,GKP,4.5,0.1
445,Thiaw,NEW,DEF,5.0,2.1
446,Schär,NEW,DEF,5.0,0.2
447,Botman,NEW,DEF,5.0,0.4
448,Burn,NEW,DEF,5.0,2.7
449,Hall,NEW,DEF,5.0,4.2
450,Livramento,NEW,DEF,5.0,0.1
451,A.Murphy,NEW,DEF,4.0,0.8
452,Bruno G.,NEW,MID,7.0,8.3
453,Barnes,NEW,MID,6.0,1.2
454,Elanga,NEW,MID,6.0,0.7
456,J.Ramsey,NEW,MID,5.0,0.5
457,J.Murphy,NEW,MID,6.0,0.2
458,Joelinton,NEW,MID,5.5,0.0
459,L.Miley,NEW,MID,5.5,0.0
460,Willock,NEW,MID,5.0,0.1
461,Touré,NEW,MID,6.0,0.2
462,Steur,NEW,MID,5.0,0.1
463,Woltemade,NEW,FWD,6.0,1.7
464,Wissa,NEW,FWD,6.0,1.4
465,Osula,NEW,FWD,6.0,1.8
466,Neave,NEW,FWD,4.5,0.7
559,Bamba,NEW,MID,5.0,0.1
567,Horníček,NEW,GKP,5.0,0.0
467,Sels,NFO,GKP,5.0,1.4
468,John,NFO,GKP,4.5,0.1
469,N.Williams,NFO,DEF,5.0,13.2
